latitude,longitude,altitude
37.2889625,127.107637,114.218
37.2889625,127.107637,114.216
37.2889624,127.1076372,114.217
37.2889624,127.1076373,114.218
37.2889622,127.1076374,114.218
37.2889622,127.1076374,114.218
37.2889621,127.1076374,114.22
37.2889621,127.1076374,114.222
37.288962,127.1076374,114.222
37.288962,127.1076373,114.224
37.2889621,127.1076373,114.222
37.2889621,127.1076374,114.223
37.2889622,127.1076374,114.219
37.2889622,127.1076374,114.219
37.2889622,127.1076373,114.22
37.2889624,127.1076373,114.216
37.2889624,127.1076373,114.216
37.2889624,127.1076372,114.217
37.2889623,127.1076372,114.218
37.2889624,127.1076373,114.218
37.2889623,127.1076373,114.213
37.2889623,127.1076374,114.216
37.2889623,127.1076373,114.217
